"date","cc_ce","ic_ce","cc_ce_hat","ic_ce_hat","cc_gap","ic_gap"
1994-01-01,0.0255393091307724,0.0169281809857054,0.0226930331592046,0.0137907173780162,0.00284627597156782,0.00313746360768918
1994-02-01,0.0263206822954244,0.0131391337940274,0.0225147267389171,0.0120950063684587,0.00380595555650734,0.00104412742556874
1994-03-01,0.025962513655415,0.0126584337771728,0.0185769661566397,0.0120879374365619,0.00738554749877535,0.000570496340610904
1994-04-01,0.0256651559962901,0.016130990394511,0.0119587468261205,0.0085324009665563,0.0137064091701696,0.00759858942795473
1994-05-01,0.0258166184933083,0.0134675012828592,0.0134610275279924,0.00791067074442284,0.0123555909653159,0.00555683053843638
1994-06-01,0.0255094731820175,0.0127547365910087,0.016642849581409,0.00880505845879843,0.00886662360060844,0.0039496781322103
1994-07-01,0.0247855411389286,0.0159452778194867,0.0167860825824099,0.0091725745167563,0.00799945855651872,0.0067727033027304
1994-08-01,0.0246727779234898,0.012534423534313,0.0142781306348104,0.00824120405420645,0.0103946472886794,0.00429321948010659
1994-09-01,0.0245027011729313,0.0123107609582361,0.0192044910284534,0.00988625113016254,0.0052982101444779,0.00242450982807354
1994-10-01,0.0238374541228562,0.0154378539327123,0.0156511828197444,0.00894530964241726,0.00818627130311182,0.006492544290295
1994-11-01,0.0234508132100244,0.0121502485661179,0.0150195225695725,0.00838373616323674,0.00843129064045187,0.00376651240288113
1994-12-01,0.0234188632423772,0.0149655500631452,0.0168078116376169,0.00999051436034295,0.0066110516047603,0.00497503570280222
1995-01-01,0.0230962407620897,0.0122628398712946,0.0126699303921263,0.00828350207111618,0.0104263103699634,0.00397933780017842
1995-02-01,0.0231881660984562,0.0124191129431177,0.0164607957067026,0.00846314438993192,0.00672737039175364,0.00395596855318577
1995-03-01,0.023268600767777,0.0125110382794842,0.0168784077714404,0.0112045742661377,0.0063901929963366,0.00130646401334652
1995-04-01,0.0229775230957898,0.0159695335955894,0.0134872634804883,0.0096870902018094,0.00949025961530145,0.00628244339377998
1995-05-01,0.0234663677563972,0.0135070698201416,0.0213800871573574,0.012116924724265,0.00208628059903981,0.00139014509587653
1995-06-01,0.0237741757283282,0.0133611460408558,0.0184176846452842,0.00955019170377762,0.00535649108304391,0.00381095433707814
1995-07-01,0.0237275008166619,0.016799591664077,0.0193080353715572,0.0104440115618235,0.0044194654451047,0.00635558010225352
1995-08-01,0.0235868257222212,0.0128914475612869,0.0193635768785296,0.0106250618899197,0.0042232488436916,0.00226638567136722
1995-09-01,0.0237636873361322,0.0163744000603012,0.0123376384579841,0.00663544155865317,0.011426048878148,0.00973895850164804
1995-10-01,0.0238983896734262,0.0133344624254994,0.017365806998354,0.00992354754887976,0.00653258267507215,0.00341091487661965
1995-11-01,0.0239769068646934,0.0135318770778285,0.0194801124320316,0.0105060370883078,0.00449679443266178,0.00302583998952067
1995-12-01,0.023443887303405,0.0163764427500245,0.0201364150228632,0.0112407915714193,0.00330747228054171,0.00513565117860525
1996-01-01,0.0236040197313654,0.0133314255849448,0.0180272721050136,0.0103821028409519,0.00557674762635174,0.00294932274399291
1996-02-01,0.0239961204838637,0.0134472735345466,0.017328147398541,0.00867506030966026,0.00666797308532273,0.00477221322488635
1996-03-01,0.0239270572831396,0.0172167875869742,0.0126536127429996,0.00900267436488089,0.01127344454014,0.0082141132220933
1996-04-01,0.0233357651796959,0.0127334325282791,0.0152457907268058,0.0104515593591226,0.00808997445289017,0.00228187316915656
1996-05-01,0.022954736927284,0.0122106263214813,0.0129225969322593,0.00746946102941412,0.0100321399950246,0.00474116529206718
