date,cc_ce,ic_ce,temp_layoff_share,perm_job_loser_share,completed_temp_share,job_leaver_share,reentrant_share,new_entrant_share,month_of_year
1994-01-01,0.025539309130772403,0.0033856361971410717,0.12780996523754345,0.2840092699884125,0.093279258400927,0.09756662804171495,0.33557358053302433,0.07323290845886443,Jan
1994-02-01,0.026320682295424395,0.0032847834485068583,0.12606314808342073,0.2774088314109286,0.09274146568798788,0.10043108470231854,0.33927531166258884,0.07340090877315623,Feb
1994-03-01,0.025962513655415038,0.0031646084442931927,0.11770956316410862,0.2755608028335301,0.09551357733175915,0.09634002361275089,0.351357733175915,0.0730814639905549,Mar
1994-04-01,0.02566515599629006,0.0032261980789022073,0.111151122314248,0.26263353739046935,0.08834473652622735,0.09866762693554196,0.3797863401752491,0.07766174528868083,Apr
1994-05-01,0.02581661849330829,0.0033668753207148037,0.10473783954516741,0.2677195198989261,0.08477574226152874,0.10069488313329122,0.36310802274162984,0.07997473152242578,May
1994-06-01,0.025509473182017454,0.003188684147752182,0.11668979437365964,0.2534376182666835,0.09473949791850637,0.10003784533871578,0.35057398763718933,0.06686009839788067,Jun
1994-07-01,0.024785541138928606,0.0031890555638973412,0.12371004278882457,0.2549710546186761,0.09551975836899068,0.09627485527309337,0.34445003775484523,0.07349609866599546,Jul
1994-08-01,0.024672777923489805,0.003133605883578261,0.13311483675784697,0.25097693180385733,0.08786083448884408,0.09756712466910375,0.3481658893230808,0.08092777007437288,Aug
1994-09-01,0.024502701172931282,0.0030776902395590207,0.11378329454357383,0.2540729247478666,0.09361261960175847,0.1100336177915697,0.33850530126713213,0.07848461339539695,Sep
1994-10-01,0.023837454122856237,0.0030875707865424514,0.11818658280922432,0.24868972746331236,0.09722222222222222,0.09971174004192872,0.345125786163522,0.08241614255765199,Oct
1994-11-01,0.023450813210024363,0.0030375621415294663,0.12230508474576271,0.2522033898305085,0.09789830508474576,0.09532203389830508,0.34738983050847455,0.08013559322033899,Nov
1994-12-01,0.02341886324237718,0.002993110012629035,0.13402489626556016,0.24356846473029045,0.10345781466113416,0.09654218533886584,0.3495159059474412,0.0727524204702628,Dec
1995-01-01,0.023096240762089718,0.0030657099678236504,0.13572881355932204,0.25328813559322033,0.09396610169491526,0.09613559322033899,0.3449491525423729,0.07742372881355933,Jan
1995-02-01,0.023188166098456246,0.003104778235779424,0.1426186169472659,0.2244330040350633,0.10045916237651314,0.10992069013496591,0.34033671907610963,0.07819674412133018,Feb
1995-03-01,0.023268600767776957,0.0031277595698710556,0.14245771005172655,0.2313714525373969,0.09925905214595275,0.11198098699846218,0.336222563959178,0.08136446246330212,Mar
1995-04-01,0.022977523095789758,0.003193906719117875,0.13917593198168737,0.22406801831262263,0.09561805101373447,0.10948332243296272,0.3641595814257685,0.07952910398953564,Apr
1995-05-01,0.023466367756397176,0.003376767455035389,0.13432032301480484,0.25531628532974426,0.09811574697173621,0.11843876177658143,0.3351278600269179,0.07523553162853297,May
1995-06-01,0.023774175728328156,0.0033402865102139393,0.14285714285714285,0.2156994748889188,0.09600107715093577,0.11404335532516494,0.3388986131681702,0.07876666217853777,Jun
1995-07-01,0.023727500816661896,0.003359918332815399,0.14667198086887206,0.22678357911518535,0.09366281387006775,0.10987113059651919,0.34010894114521056,0.07532881626145875,Jul
1995-08-01,0.023586825722221184,0.0032228618903217174,0.14457509353287012,0.22835382148583644,0.09620523784072689,0.11397648316408338,0.34246392303580975,0.07936932121859967,Aug
